socname,soc.id,latitude,longitude,biome,subsistence,allomaternal,fathercare,fixity,storage,polygny,inheritance,pathogen,endstarve,shortstarve,seasonstarve,temp.mean,temp.var,temp.pred,precip.mean,precip.var,precip.pred
Somali,SCCS36,9,47.25,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Pastoralism,2,2,1,1,5,4,15,3,2,5,22.8921658,6.74899593,0.7235502,38064.715,1958075071,0.5980099
Amhara,SCCS37,12.5,37.75,Montane Grasslands & Shrublands,Intensive agriculture,2,2,5,2,1,7,15,3,2,5,19.5597824,3.8420585,0.7225353,73701.398,7102274111,0.5195609
Kenuzi_Nubians,SCCS39,23,39.11,Deserts & Xeric Shrublands,Intensive agriculture,2,1,5,2,3,4,15,2,2,3,26.5718615,23.91153492,0.725292,6403.367,185140467,0.24934
Teda,SCCS40,20.5,17.5,Deserts & Xeric Shrublands,Intensive agriculture,2,3,1,2,4,4,10,4,2,5,21.8128363,45.56660607,0.6416273,5593.444,156975917,0.3039394
Egyptians,SCCS43,24.75,33,Flooded Grasslands & Savannas,Intensive agriculture,2,2,5,2,2,4,16,3,2,3,23.6406708,55.98120443,0.6577331,2906.474,61013724,0.3510855
Hebrews,SCCS44,31.18,34.92,Deserts & Xeric Shrublands,Intensive agriculture,2,3,5,1,5,7,13,,2,3,19.9428251,29.52890209,0.6987645,11135.911,181511368,0.4977265
Rwala_Bedouin,SCCS46,33.25,38.5,Deserts & Xeric Shrublands,Pastoralism,2,2,1,1,5,7,12,,2,3,16.0574881,80.1892964,0.622996,13405.264,193864145,0.459266
Turks,SCCS47,39.33,34.25,Temperate Broadleaf & Mixed Forests,Intensive agriculture,3,3,5,2,2,4,12,,2,4,10.2595497,72.20179292,0.6118006,56880.294,1443732695,0.6177965
Romans,SCCS49,41.67,13.5,"Mediterranean Forests, Woodlands & Scrub",Intensive agriculture,6,3,5,2,1,5,11,,2,3,15.29122,39.62786863,0.6539501,55817.227,1651724949,0.5879874
Basques,SCCS50,43.25,-1.67,Temperate Broadleaf & Mixed Forests,Intensive agriculture,4,3,5,3,1,4,9,,2,3,13.9475968,15.00595113,0.6910227,72670.799,1866041422,0.6415318
Irish,SCCS51,53.5,-10,Temperate Broadleaf & Mixed Forests,Intensive agriculture,5,2,5,3,1,7,9,2,2,4,11.2498484,8.42223181,0.7481786,132987.157,3491045078,0.7670805
Lapps,SCCS52,68.7,21.5,Boreal Forests/Taiga,Pastoralism,2,4,1,2,1,5,7,2,2,5,-2.8595506,91.64819994,0.5217446,65438.053,713389583,0.7316915
Russians,SCCS54,52.67,41.33,Temperate Broadleaf & Mixed Forests,Intensive agriculture,4,4,5,3,1,,10,,2,3,7.6406975,133.6090259,0.5256558,57571.641,673849541,0.6729123
Armenians,SCCS56,40,44.5,"Temperate Grasslands, Savannas & Shrublands",Intensive agriculture,3,3,5,2,1,4,11,,,,6.7520187,94.95406046,0.5831406,47323.331,947079950,0.6538148
Punjabi_West,SCCS59,32.5,74,Deserts & Xeric Shrublands,Intensive agriculture,4,3,5,1,1,7,13,,2,4,24.8242802,82.82722977,0.6131921,52186.412,4649930144,0.3974769
Santal,SCCS62,23.5,87.17,Tropical & Subtropical Dry Broadleaf Forests,Intensive agriculture,2,3,5,1,2,7,15,,2,5,24.7434425,33.0366254,0.6420943,113006.544,14510681796,0.4864045
