socname,soc.id,latitude,longitude,biome,subsistence,allomaternal,fathercare,fixity,storage,polygny,inheritance,pathogen,endstarve,shortstarve,seasonstarve,temp.mean,temp.var,temp.pred,precip.mean,precip.var,precip.pred
Cayapa,SCCS168,1,-79,Tropical & Subtropical Moist Broadleaf Forests,Extensive agriculture,3,3,5,3,1,,12,2,1,1,22.7002321,0.25642897,0.7838219,256564.747,16219626157,0.7301438
Jivaro,SCCS169,-3,-78,Tropical & Subtropical Moist Broadleaf Forests,Extensive agriculture,3,3,4,1,5,7,18,1,1,1,20.9818056,0.81420681,0.776108,118612.379,8841008874,0.7132441
Aymara,SCCS172,-16,-65.75,Tropical & Subtropical Moist Broadleaf Forests,Extensive agriculture,2,2,5,1,1,7,13,4,2,5,18.0911313,4.04627016,0.7468894,233882.146,31254400384,0.6588666
Siriono,SCCS173,-14.5,-63.5,Tropical & Subtropical Moist Broadleaf Forests,Hunting,2,3,2,1,3,1,16,3,3,4,27.3904033,2.74335567,0.69975,99838.912,6801139023,0.6279401
MISSING_Nambicuara,SCCS174,-13,-58.75,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Gathering,3,5,2,1,4,1,12,3,2,4,23.9102413,3.26658324,0.7241917,120205.152,11398012340,0.6229844
MISSING_Timbira,SCCS176,-6.5,-46,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Extensive agriculture,2,4,4,1,1,5,16,,,,25.2718145,2.96213785,0.7293565,245475.614,70161254041,0.6425821
Tupinamba,SCCS177,-22.79,-44.5,Tropical & Subtropical Moist Broadleaf Forests,Extensive agriculture,2,4,4,1,4,,18,,2,3,19.4158981,8.01692794,0.7264639,119486.36,9477828432,0.6501963
Shavante,SCCS179,-13.5,-51.5,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Gathering,3,4,2,1,5,1,20,1,1,1,25.2337248,3.67620674,0.7062466,118024.232,15093364988,0.5850097
Aweikoma,SCCS180,-28,-50,Tropical & Subtropical Moist Broadleaf Forests,Hunting,3,4,1,1,3,1,15,1,2,5,17.0358601,11.75161344,0.6846133,137273.047,4735082752,0.6846414
Cayua,SCCS181,-23.5,-55,Tropical & Subtropical Moist Broadleaf Forests,Extensive agriculture,3,4,2,2,3,,12,,3,3,22.6192118,11.09474538,0.6627324,113613.632,8296807517,0.6171012
Mapuche,SCCS184,-38.5,-72.58,"Mediterranean Forests, Woodlands & Scrub",Intensive agriculture,3,4,5,1,4,7,8,2,2,4,11.7397433,12.11903845,0.7294356,72565.777,4295021417,0.6149443
Yahgan,SCCS186,-55.5,-69.5,Temperate Broadleaf & Mixed Forests,Fishing,3,4,1,1,2,1,7,1,3,1,4.2495528,3.62011784,0.7188429,107757.569,671652292,0.8177549
